id,id,name,distance,mass,radius
0,0,54 Piscium,36.1,,5.446439
2,2,AB Pictoris,66.6,,1.3873004999999998
3,3,CD−33°7795,163.08,,2.0552599999999996
4,4,CT Chamaeleontis,538.0,,1.7469709999999998
5,5,Eta Coronae Borealis,58.3,,6.474068999999999
6,6,G 196-3,50.2,,2.5690749999999998
8,8,Gliese 570,19.0,,5.343675999999999
9,9,GU Piscium,155.3,,1.130393
11,11,HD 100546,337.25,,2.0552599999999996
12,12,HN Pegasi,58.3,,2.877364
14,14,UScoCTIO 108,473.0,,1.438682
15,15,WD 0137-349,330.0,,5.446439
16,16,HD 41004 B,139.0,,1.8908391999999998
18,18,Xi Ursae Majoris B,25.11,,3.802231
19,19,Upsilon Andromedae,43.9,,1.43662674
20,20,Gliese 758,51.9,,2.363549
21,21,HD 112758,53.81,,3.5967049999999996
22,22,BD−04°782,66.6,,2.158023
23,23,HD 110833,55.44,,1.7469709999999998
24,24,HD 89707,81.54,,5.549201999999999
25,25,Tau Geminorum,302.0,,1.8600103000000001
26,26,HAT-P-13,698.0,,1.5619975999999998
27,27,HD 217580,58.7,,6.16578
28,28,HD 16760,163.0,,1.4695109
29,29,HD 13189,603.4,,1.438682
30,30,HD 18445,83.92,,4.007757
31,31,HD 8673,124.75,,1.438682
32,32,NGC 4349-127,7097.0,,2.0347074
33,33,Gliese 569,31.5,,11.920508
34,34,HD 29587,146.77,,4.110519999999999
35,35,ChaHα8,522.0,,1.8497339999999998
36,36,CoRoT-20,4000.0,,1.7469709999999998
37,37,HD 168443,123.5,,3.4939419999999997
38,38,HD 38529 A,138.0,,3.802231
39,39,Epsilon Indi,11.8,,2.877364
40,40,HW Virginis,590.0,,1.97613249
41,41,DT Virginis,37.55,,1.2845374999999999
42,42,HD 4113,136.0,,6.16578
43,43,Gliese 229,19.0,,4.110519999999999
44,44,TYC 9486-927-1,111.0,0.001909176,1.3667479
45,45,Epsilon Indi,11.8,,4.829860999999999
46,46,HD 131664,180.8,,1.8651484499999997
47,47,HD 136118,171.0,,4.316046
48,48,HD 140913,156.42,,4.727098
49,49,GQ Lupi b,400.0,,0.102763
50,50,HD 162020,101.95,,1.541445
51,51,Nu Ophiuchi,152.8,,2.2505097
52,52,HD 164427,127.52,,4.727098
53,53,SCR 1845-6357,12.57,,4.110519999999999
54,54,COROT-3,2220.0,,2.22584658
55,55,V921 Scorpii[8],4833.0,,6.16578
56,56,15 Sagittae,57.7,,6.679595
57,57,Zeta Delphini,220.0,,5.651965
58,58,HD 202206,151.14,,1.7880761999999997
59,59,OGLE-TR-109,8450.0,,1.438682
60,60,RU Lupi,400.0,,2.7746009999999997
61,61,CM Draconis,48.0,,6.576832
62,62,BD+20°2457,652.0,,2.20118346
63,63,HD 3346,655.58,,6.16578
64,64,HD 104304,42.1,,1.7675235999999999
65,65,HD 154857,220.0,,1.8908391999999998
66,66,Gliese 22 B,326.0,,1.644208
67,67,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
68,68,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
70,70,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
72,72,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
74,74,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
75,75,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998
76,76,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
77,77,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
78,78,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
